epoch,train_loss,validation_macro_f1
1,0.20939223824964193,0.9772207727963922
2,0.04457161879077807,0.9844964036208557
3,0.03333635826324555,0.9876335498410369
4,0.027168302668143914,0.9896121818664709
5,0.021404267472376993,0.9903282763559321
6,0.019070367676009666,0.9892850033107261
7,0.0165116451530665,0.9903340475577791
8,0.013144210802160371,0.9910695880291533
9,0.01195305765155635,0.9913098626807171
10,0.008259936725855784,0.9908623922145903
11,0.006733829644580304,0.991351190726648
12,0.005037927638710409,0.992090170802288
13,0.003038807689150628,0.9923350779085628
14,0.0021483880439286496,0.9906348346899283
15,0.0011601317824386852,0.9915657220275338
