method,run,evaluation_scope,generator,n,n_ai,n_human,accuracy,balanced_accuracy,precision_ai,recall_ai,f1_ai,macro_f1,roc_auc,pr_auc,tn_human,fp_human_as_ai,fn_ai_as_human,tp_ai
full_classification_head,seed_202,overall,all,6330,5064,1266,0.9958925750394945,0.9929897314375988,0.9970402525651144,0.997827804107425,0.9974338728780102,0.9935745313757139,0.9997211833866165,0.9999286817090169,1251,15,11,5053
full_classification_head,seed_202,generator_vs_human,gemini-2.5-flash,2532,1266,1266,0.9940758293838863,0.9940758293838863,0.9882903981264637,1.0,0.9941107184923439,0.9940756214630968,0.9999001719538095,0.9998973238635237,1251,15,0,1266
full_classification_head,seed_202,generator_vs_human,glm-4-flash,2532,1266,1266,0.9921011058451816,0.9921011058451816,0.9882445141065831,0.9960505529225908,0.99213217938631,0.9921009826352645,0.9998084549363722,0.9998080327257941,1251,15,5,1261
full_classification_head,seed_202,generator_vs_human,glm-5.1,2532,1266,1266,0.9921011058451816,0.9921011058451816,0.9882445141065831,0.9960505529225908,0.99213217938631,0.9921009826352645,0.9993102505933529,0.9992988904797356,1251,15,5,1261
full_classification_head,seed_202,generator_vs_human,gpt-4o,2532,1266,1266,0.9936808846761453,0.9936808846761453,0.98828125,0.9992101105845181,0.9937156323644933,0.9936806914801022,0.9998658560629317,0.9998608814109935,1251,15,1,1265
