method_display,run_directory,method,run,evaluation_scope,generator,n,n_ai,n_human,accuracy,balanced_accuracy,precision_ai,recall_ai,f1_ai,macro_f1,roc_auc,pr_auc,tn_human,fp_human_as_ai,fn_ai_as_human,tp_ai
Last layer (150),run_04,last_layer_150,seed_104,generator_vs_human,gpt-4o,2532,1266,1266,0.9229857819905212,0.9229857819905214,0.953429297205758,0.8894154818325435,0.9203105843890478,0.9228988917359836,0.9720206943539752,0.9744222071331542,1211,55,140,1126
Last layer (150),run_05,last_layer_150,seed_105,overall,all,6330,5064,1266,0.8110584518167456,0.8656200631911533,0.986173956762192,0.7746840442338072,0.8677283786772838,0.7685795016658945,0.9390632448108132,0.9838519792340692,1211,55,1141,3923
Last layer (150),run_05,last_layer_150,seed_105,generator_vs_human,gemini-2.5-flash,2532,1266,1266,0.867693522906793,0.867693522906793,0.94716618635927,0.7788309636650869,0.8547897702644126,0.8666404418968054,0.945353503590066,0.9468809770331236,1211,55,280,986
Last layer (150),run_05,last_layer_150,seed_105,generator_vs_human,glm-4-flash,2532,1266,1266,0.9403633491311216,0.9403633491311216,0.9551020408163264,0.924170616113744,0.939381774387796,0.940347708025612,0.9821473137520622,0.9826180994652968,1211,55,96,1170
Last layer (150),run_05,last_layer_150,seed_105,generator_vs_human,glm-5.1,2532,1266,1266,0.731042654028436,0.731042654028436,0.920863309352518,0.5055292259083728,0.6527281998980112,0.716631583029895,0.8567417623144136,0.8621017206470756,1211,55,626,640
Last layer (150),run_05,last_layer_150,seed_105,generator_vs_human,gpt-4o,2532,1266,1266,0.9233807266982622,0.9233807266982622,0.9534686971235194,0.8902053712480252,0.920751633986928,0.9232963062901,0.972010399586712,0.9744693247706908,1211,55,139,1127
Full head,run_01,full_classification_head,seed_201,overall,all,6330,5064,1266,0.9951026856240126,0.9904225908372828,0.9956667323222376,0.998222748815166,0.99694310225816,0.9923183157182028,0.999722509227855,0.9999286229605426,1244,22,9,5055
Full head,run_01,full_classification_head,seed_201,generator_vs_human,gemini-2.5-flash,2532,1266,1266,0.9913112164297,0.9913112164296998,0.9829192546583853,1.0,0.9913860610806576,0.991310560420807,0.9998898771865462,0.9998870254816438,1244,22,0,1266
Full head,run_01,full_classification_head,seed_201,generator_vs_human,glm-4-flash,2532,1266,1266,0.9893364928909952,0.9893364928909952,0.9828526890101325,0.9960505529225908,0.9894076108277756,0.9893360121733312,0.9997547973615448,0.999753218263813,1244,22,5,1261
Full head,run_01,full_classification_head,seed_201,generator_vs_human,glm-5.1,2532,1266,1266,0.9897314375987362,0.9897314375987362,0.9828660436137072,0.9968404423380728,0.9898039215686274,0.9897309186204316,0.9993929206941043,0.999366098651744,1244,22,4,1262
Full head,run_01,full_classification_head,seed_201,generator_vs_human,gpt-4o,2532,1266,1266,0.9913112164297,0.9913112164296998,0.9829192546583853,1.0,0.9913860610806576,0.991310560420807,0.9998524416692248,0.9998485993037044,1244,22,0,1266
Full head,run_02,full_classification_head,seed_202,overall,all,6330,5064,1266,0.9958925750394944,0.9929897314375988,0.9970402525651144,0.997827804107425,0.9974338728780102,0.993574531375714,0.9997211833866164,0.9999286817090168,1251,15,11,5053
Full head,run_02,full_classification_head,seed_202,generator_vs_human,gemini-2.5-flash,2532,1266,1266,0.9940758293838864,0.9940758293838864,0.9882903981264636,1.0,0.994110718492344,0.9940756214630968,0.9999001719538096,0.9998973238635236,1251,15,0,1266
Full head,run_02,full_classification_head,seed_202,generator_vs_human,glm-4-flash,2532,1266,1266,0.9921011058451816,0.9921011058451816,0.9882445141065832,0.9960505529225908,0.99213217938631,0.9921009826352644,0.9998084549363722,0.999808032725794,1251,15,5,1261
Full head,run_02,full_classification_head,seed_202,generator_vs_human,glm-5.1,2532,1266,1266,0.9921011058451816,0.9921011058451816,0.9882445141065832,0.9960505529225908,0.99213217938631,0.9921009826352644,0.9993102505933528,0.9992988904797356,1251,15,5,1261
Full head,run_02,full_classification_head,seed_202,generator_vs_human,gpt-4o,2532,1266,1266,0.9936808846761452,0.9936808846761452,0.98828125,0.999210110584518,0.9937156323644932,0.9936806914801022,0.9998658560629315,0.9998608814109936,1251,15,1,1265
Full head,run_03,full_classification_head,seed_203,overall,all,6330,5064,1266,0.9946287519747236,0.9924960505529226,0.9972321075523922,0.9960505529225908,0.9966409800434696,0.9916223024724836,0.9996810961868182,0.999914889238343,1252,14,20,5044
Full head,run_03,full_classification_head,seed_203,generator_vs_human,gemini-2.5-flash,2532,1266,1266,0.9940758293838864,0.9940758293838864,0.9890539483971852,0.999210110584518,0.9941060903732808,0.9940756732136352,0.9998618005485552,0.9998489048112752,1252,14,1,1265
Full head,run_03,full_classification_head,seed_203,generator_vs_human,glm-4-flash,2532,1266,1266,0.9924960505529226,0.9924960505529226,0.9890196078431372,0.9960505529225908,0.9925226288862652,0.9924959557431724,0.9997741390454942,0.9997658285470736,1252,14,5,1261
Full head,run_03,full_classification_head,seed_203,generator_vs_human,glm-5.1,2532,1266,1266,0.9893364928909952,0.9893364928909952,0.988950276243094,0.9897314375987362,0.9893407027240426,0.9893364912276872,0.9992459862886178,0.9991934169914268,1252,14,13,1253
Full head,run_03,full_classification_head,seed_203,generator_vs_human,gpt-4o,2532,1266,1266,0.9940758293838864,0.9940758293838864,0.9890539483971852,0.999210110584518,0.9941060903732808,0.9940756732136352,0.9998424588646058,0.9998250476173312,1252,14,1,1265
